val,date
13.841358673758966,2022-10-28
218.88408910998595,2022-10-29
226.41321619391704,2022-10-30
67.84409854685578,2022-10-31
219.00574278663265,2022-11-01
182.1824642033452,2022-11-02
194.7576963526025,2022-11-03
428.1141669019547,2022-11-04
344.01171387416474,2022-11-05
219.09581566506785,2022-11-06
44.5613330008848,2022-11-07
232.920497950798,2022-11-08
343.4154064450579,2022-11-09
106.85642749525834,2022-11-10
140.83352555954988,2022-11-11
95.4225528677963,2022-11-12
268.89777558597814,2022-11-13
4.631146096179441,2022-11-14
18.67427367829203,2022-11-15
70.81583346588019,2022-11-16
12.870773596942495,2022-11-17
183.329075090326,2022-11-18
41.22673594764476,2022-11-19
74.31329466177414,2022-11-20
205.62771402918835,2022-11-21
209.64652700438663,2022-11-22
199.24898715129703,2022-11-23
160.64206691577343,2022-11-24
38.00832025096128,2022-11-25
